ticker,regime,entry_date,entry_price,exit_date,exit_price,shares,gross_pl,return_pct,exit_reason
TQQQ,bull,2026-04-03,40.880001,2026-04-08,47.428001,100,654.8,16.0176,rotation_to_SOXL
SOXL,bull,2026-04-03,46.060001,2026-04-28,109.56,100,6350.0,137.8637,cash_zone_score_-1.6
SOXL,bull,2026-04-30,122.81,2026-05-04,127.55,92,436.08,3.8596,cash_zone_score_2.0
SOXL,bull,2026-05-05,135.0,2026-05-12,172.52,87,3264.24,27.7926,trailing_stop
SOXL,bull,2026-05-12,177.62,2026-05-15,164.18,66,-887.04,-7.5667,trailing_stop
TQQQ,bull,2026-05-18,76.135,2026-05-20,76.51,184,69.0,0.4925,rotation_to_SOXL
SOXL,bull,2026-05-20,161.0,2026-06-01,227.03,87,5744.61,41.0124,trailing_stop
SOXL,bull,2026-06-01,217.265,2026-06-04,262.7,65,2953.28,20.9123,trailing_stop
SOXL,bull,2026-06-04,242.04,2026-06-05,182.54,80,-4760.0,-24.5827,trailing_stop
TQQQ,bull,2026-06-05,81.55,2026-06-08,76.27,274,-1446.72,-6.4746,rotation_to_SOXL
SOXL,bull,2026-06-08,210.62,2026-06-09,201.68,84,-750.96,-4.2446,trailing_stop
TQQQ,bull,2026-06-09,78.48,2026-06-10,69.27,210,-1934.1,-11.7355,trailing_stop
TQQQ,bull,2026-06-10,71.68,2026-06-11,76.01,220,952.6,6.0407,cash_zone_score_0.7
SOXL,bull,2026-06-11,192.3,2026-06-16,226.19,72,2440.08,17.6235,trailing_stop
SOXL,bull,2026-06-17,247.42,2026-06-23,231.42,69,-1104.0,-6.4667,trailing_stop
TQQQ,bull,2026-06-23,75.12,2026-06-24,73.3,228,-414.96,-2.4228,rotation_to_SOXL
SOXL,bull,2026-06-24,233.11,2026-06-25,252.61,69,1345.5,8.3651,cash_zone_score_0.6
SOXL,bull,2026-06-26,226.24,2026-06-29,236.52,75,771.0,4.5438,cash_zone_score_-0.3
SOXL,bull,2026-07-01,237.785,2026-07-02,181.47,74,-4167.31,-23.6832,trailing_stop
SOXL,bull,2026-07-02,219.23,2026-07-02,181.47,80,-3020.8,-17.2239,trailing_stop
SOXL,bull,2026-07-02,219.23,2026-07-06,194.65,62,-1523.96,-11.212,time_stop_4d_-11.2pct
SOXL,bull,2026-07-06,197.21,2026-07-07,165.28,55,-1756.15,-16.1909,trailing_stop
SOXL,bull,2026-07-07,165.4,2026-07-09,192.45,57,1541.85,16.3543,cash_zone_score_0.4
SOXL,bull,2026-07-13,174.61,2026-07-14,176.66,53,108.65,1.174,cash_zone_score_1.4
SOXL,bull,2026-07-15,183.77,2026-07-16,142.48,51,-2105.79,-22.4683,trailing_stop
SOXL,bull,2026-07-16,150.44,2026-07-17,135.47,62,-928.14,-9.9508,trailing_stop
SOXL,bull,2026-07-17,124.73,2026-07-24,136.81,59,712.72,9.6849,trailing_stop
SOXL,bull,2026-07-24,151.45,2026-07-27,128.15,42,-978.6,-15.3846,time_stop_3d_-15.4pct
SOXL,bull,2026-07-27,140.65,2026-07-28,109.54,50,-1555.5,-22.1187,trailing_stop
SOXL,bull,2026-07-28,113.15,2026-07-29,91.99,55,-1163.8,-18.7008,trailing_stop
SOXL,bull,2026-07-29,107.62,2026-07-30,114.72,44,312.4,6.5973,cash_zone_score_-0.6
SOXL,bull,2026-08-07,141.97,2026-08-10,130.0,27,-323.19,-8.4314,time_stop_3d_-8.4pct
SOXL,bull,2026-08-12,147.3,2026-08-17,151.53,24,101.52,2.8717,time_stop_5d_2.9pct
SOXL,bull,2026-08-18,134.195,2026-08-19,120.74,27,-363.28,-10.0265,trailing_stop
SOXL,bull,2026-08-19,132.63,2026-08-20,122.21,28,-291.76,-7.8564,trailing_stop
